run_id,scenario,channel,applications_submitted,decisioned_applications,approved_count,booked_count,approval_rate,booking_rate_of_approved,low_sample,sample_classification
RUN_baseline_sample_2026_29e3fb70,baseline,app,2969,2823,1629,1384,0.5770456960680127,0.8496009821976673,False,adequate
RUN_baseline_sample_2026_29e3fb70,baseline,branch,1108,1037,607,506,0.5853423336547734,0.8336079077429983,False,adequate
RUN_baseline_sample_2026_29e3fb70,baseline,partner,1155,1099,625,530,0.5686988171064604,0.848,False,adequate
RUN_baseline_sample_2026_29e3fb70,baseline,web,2256,2147,1220,1058,0.568234746157429,0.8672131147540983,False,adequate
RUN_collections_change_sample_2026_7932bc75,collections_change,app,2969,2823,1629,1384,0.5770456960680127,0.8496009821976673,False,adequate
RUN_collections_change_sample_2026_7932bc75,collections_change,branch,1108,1037,607,506,0.5853423336547734,0.8336079077429983,False,adequate
RUN_collections_change_sample_2026_7932bc75,collections_change,partner,1155,1099,625,530,0.5686988171064604,0.848,False,adequate
RUN_collections_change_sample_2026_7932bc75,collections_change,web,2256,2147,1220,1058,0.568234746157429,0.8672131147540983,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,macroeconomic_stress,app,2969,2823,1629,1384,0.5770456960680127,0.8496009821976673,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,macroeconomic_stress,branch,1108,1037,607,506,0.5853423336547734,0.8336079077429983,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,macroeconomic_stress,partner,1155,1099,625,530,0.5686988171064604,0.848,False,adequate
RUN_macroeconomic_stress_sample_2026_c0afa13a,macroeconomic_stress,web,2256,2147,1220,1058,0.568234746157429,0.8672131147540983,False,adequate
RUN_policy_expansion_sample_2026_275cb395,policy_expansion,app,2969,2823,2491,2115,0.8823946156571024,0.8490566037735849,False,adequate
RUN_policy_expansion_sample_2026_275cb395,policy_expansion,branch,1108,1037,924,772,0.8910318225650916,0.8354978354978355,False,adequate
RUN_policy_expansion_sample_2026_275cb395,policy_expansion,partner,1155,1099,990,835,0.9008189262966333,0.8434343434343434,False,adequate
RUN_policy_expansion_sample_2026_275cb395,policy_expansion,web,2256,2147,1871,1597,0.871448532836516,0.8535542490646713,False,adequate
RUN_policy_tightening_sample_2026_4aaa4164,policy_tightening,app,2969,2823,627,531,0.22210414452709884,0.84688995215311,False,adequate
RUN_policy_tightening_sample_2026_4aaa4164,policy_tightening,branch,1108,1037,234,197,0.2256509161041466,0.8418803418803419,False,adequate
RUN_policy_tightening_sample_2026_4aaa4164,policy_tightening,partner,1155,1099,231,188,0.21019108280254778,0.8138528138528138,False,adequate
RUN_policy_tightening_sample_2026_4aaa4164,policy_tightening,web,2256,2147,460,403,0.21425244527247322,0.8760869565217392,False,adequate
