run_id,suite_id,scenario,seed,scale,write_off_month,write_off_count,total_write_off_amount,recovery_count,total_recovery_amount,recovery_rate,avg_days_to_recovery
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-07-01,1,6287.56,0,0.00,0.0,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-08-01,2,4649.91,1,51.22,0.011015266962156257,61.0
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-09-01,11,68672.08,2,2976.67,0.04334614591548705,61.5
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-10-01,8,34653.25,0,0.00,0.0,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-11-01,17,66959.14,0,0.00,0.0,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-12-01,12,56340.67,0,0.00,0.0,
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-09-01,3,22379.03,2,2019.91,0.09025905054866097,76.5
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-10-01,4,23877.90,1,5039.85,0.21106755619212744,30.0
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-11-01,4,16583.63,2,2046.00,0.1233746773173304,31.0
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-12-01,6,24590.11,0,0.00,0.0,
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-07-01,1,6287.56,0,0.00,0.0,
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-08-01,3,6816.50,1,182.90,0.026831951881464096,61.0
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-09-01,13,79544.22,2,2976.67,0.03742157506855935,61.5
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-10-01,19,99826.27,0,0.00,0.0,
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-11-01,30,140821.39,1,240.63,0.0017087602955772555,31.0
RUN_macroeconomic_stress_sample_2026_c0afa13a,SUITE_sample_2026,macroeconomic_stress,2026,sample,2024-12-01,77,328137.11,0,0.00,0.0,
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-07-01,3,7512.66,1,313.45,0.04172290506957589,61.0
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-08-01,6,28444.75,1,1849.37,0.06501621564612098,91.0
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-09-01,4,26474.97,1,1810.94,0.06840196608343654,31.0
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-10-01,13,70510.47,0,0.00,0.0,
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-11-01,31,135406.90,0,0.00,0.0,
RUN_policy_expansion_sample_2026_275cb395,SUITE_sample_2026,policy_expansion,2026,sample,2024-12-01,25,98079.93,0,0.00,0.0,
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-08-01,4,29334.61,1,569.23,0.019404723635323598,61.0
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-09-01,1,5171.65,0,0.00,0.0,
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-10-01,6,40353.34,0,0.00,0.0,
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-11-01,6,17455.41,1,1510.23,0.08651930834050876,31.0
RUN_policy_tightening_sample_2026_4aaa4164,SUITE_sample_2026,policy_tightening,2026,sample,2024-12-01,5,17580.05,0,0.00,0.0,
