run_id,suite_id,scenario,seed,scale,vintage_month,months_on_book,max_mob_observed_for_cohort,contracts_observed,total_balance,total_financed_amount,contracts_30plus,contracts_60plus,contracts_90plus,cumulative_write_off
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,0,11,9,55160.15,45915.05,0,0,0,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,1,11,9,52063.24,45915.05,0,0,0,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,2,11,9,42833.24,45915.05,3,0,0,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,3,11,9,32505.46,45915.05,2,2,0,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,4,11,7,26571.81,32824.14,2,1,1,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,5,11,7,24615.01,32824.14,2,1,1,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,6,11,7,17643.92,32824.14,4,2,1,6287.56
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,7,11,5,15160.36,24613.62,3,2,0,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,8,11,4,14066.37,18964.71,2,2,2,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,9,11,4,13553.68,18964.71,2,2,2,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,10,11,4,2966.43,18964.71,2,2,2,10446.35
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,11,11,2,2825.53,5463.41,1,0,0,0.00
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-01,0,10,33,190245.49,154342.71,0,0,0,0.00
