run_id,suite_id,scenario,seed,scale,snapshot_date,total_contracts,total_balance,contracts_30plus,contracts_60plus,contracts_90plus,balance_30plus,balance_60plus,balance_90plus,new_delinquencies,cures,relapses,prior_month_delinquent_count,par30,par60,par90,rate_30plus,rate_60plus,rate_90plus,cure_rate
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-31,9,55160.15,0,0,0,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-29,42,242308.73,0,0,0,0.00,0.00,0.00,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-03-31,99,531381.15,3,0,0,15431.85,0.00,0.00,7,4,0,7,0.029041018861884732,0.0,0.0,0.030303030303030304,0.0,0.0,0.5714285714285714
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-04-30,184,944530.83,7,2,0,29741.07,9349.18,0.00,24,2,2,10,0.03148766462181018,0.009898226403049227,0.0,0.03804347826086957,0.010869565217391304,0.0,0.2
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-05-31,285,1306061.37,27,6,1,159198.68,26679.45,6287.56,30,5,1,31,0.12189218949183067,0.02042740916531357,0.004814138251405445,0.09473684210526316,0.021052631578947368,0.0035087719298245615,0.16129032258064516
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-06-30,377,1702952.20,47,22,4,248434.48,126775.76,13104.06,48,10,3,56,0.14588458795261547,0.07444469668614304,0.007694907702048243,0.1246684350132626,0.058355437665782495,0.010610079575596816,0.17857142857142858
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-07-31,508,2198830.27,74,36,16,334118.43,172307.00,86428.89,67,21,7,94,0.15195280625275365,0.07836302890263558,0.03930675831563843,0.14566929133858267,0.07086614173228346,0.031496062992125984,0.22340425531914893
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-08-31,670,2803063.88,108,55,25,500961.27,245440.70,123599.73,80,25,9,137,0.1787191771027352,0.0875615792245163,0.044094510611010405,0.16119402985074627,0.08208955223880597,0.03731343283582089,0.18248175182481752
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-09-30,810,3322299.15,144,85,50,564085.63,336617.06,169799.98,102,36,13,183,0.16978772968111558,0.1013205147405224,0.051109178413388814,0.17777777777777778,0.10493827160493827,0.06172839506172839,0.19672131147540983
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-10-31,969,3928375.25,182,100,49,694067.54,357261.91,186581.45,122,51,21,234,0.17668056023924905,0.09094393668221995,0.04749583176912644,0.18782249742002063,0.10319917440660474,0.05056759545923633,0.21794871794871795
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-11-30,1141,4689386.00,214,126,70,809478.96,422453.82,194003.43,144,62,25,287,0.17261939196304163,0.09008723530116736,0.04137075301542675,0.18755477651183172,0.11042944785276074,0.06134969325153374,0.21602787456445993
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-12-31,1343,5556650.17,263,151,87,987215.97,549532.36,279057.22,175,72,34,339,0.1776638693812175,0.09889633919495061,0.050220404643540835,0.19583023082650783,0.11243484735666419,0.06478034251675353,0.21238938053097345
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-01-31,9,55160.15,0,0,0,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-02-29,42,242308.73,0,0,0,0.00,0.00,0.00,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-03-31,99,531381.15,3,0,0,15431.85,0.00,0.00,7,4,0,7,0.029041018861884732,0.0,0.0,0.030303030303030304,0.0,0.0,0.5714285714285714
RUN_collections_change_sample_2026_7932bc75,SUITE_sample_2026,collections_change,2026,sample,2024-04-30,184,949161.30,5,1,0,22846.82,3061.62,0.00,27,4,2,10,0.024070534692048652,0.0032256055951712316,0.0,0.02717391304347826,0.005434782608695652,0.0,0.4
