run_id,suite_id,scenario,seed,scale,submitted_month,channel,applications_submitted,decisioned_applications,approved_count,rejected_count,booked_count,total_booked_amount,approval_rate,rejection_rate,booking_rate_of_approved,booking_rate_of_submitted,avg_booked_amount
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,app,15,15,12,3,9,42078.88,0.8,0.2,0.75,0.6,4675.431111111111
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,branch,5,5,4,1,3,10782.45,0.8,0.2,0.75,0.6,3594.15
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,partner,4,3,1,2,0,0.00,0.3333333333333333,0.6666666666666666,0.0,0.0,
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-01-01,web,9,9,6,3,5,30739.22,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5555555555555556,6147.844
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-01,app,32,30,22,8,20,93213.65,0.7333333333333333,0.26666666666666666,0.9090909090909091,0.625,4660.6825
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-01,branch,12,10,4,6,4,18671.82,0.4,0.6,1.0,0.3333333333333333,4667.955
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-01,partner,6,6,3,3,2,13210.20,0.5,0.5,0.6666666666666666,0.3333333333333333,6605.1
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-02-01,web,29,26,14,12,11,46779.86,0.5384615384615384,0.46153846153846156,0.7857142857142857,0.3793103448275862,4252.714545454545
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-03-01,app,53,51,33,18,27,123539.35,0.6470588235294118,0.35294117647058826,0.8181818181818182,0.5094339622641509,4575.531481481482
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-03-01,branch,21,20,13,7,11,63459.00,0.65,0.35,0.8461538461538461,0.5238095238095238,5769.0
RUN_baseline_sample_2026_29e3fb70,SUITE_sample_2026,baseline,2026,sample,2024-03-01,partner,23,20,13,7,13,49040.49,0.65,0.35,1.0,0.5652173913043478,3772.3453846153843
